connector,organisation_1,organisation_2,org_conviction_1,org_country_1,org_continent_1,org_conviction_2,org_country_2,org_continent_2,international,intercontinental
henri lepage,the global warming policy foundation,association pour la liberta conomique et le progress social,unconvinced of agw,uk,europe,,france,europe,1,0
henri lepage,the global warming policy foundation,mont pelerin society,unconvinced of agw,uk,europe,,global,global,1,1
henri lepage,eurolibnetwork,institut turgot,unconvinced of agw,sweden,europe,unconvinced of agw,france,europe,1,0
henri lepage,eurolibnetwork,la main invisible,unconvinced of agw,sweden,europe,unconvinced of agw,france,europe,1,0
henri lepage,eurolibnetwork,institut hayek,unconvinced of agw,sweden,europe,unconvinced of agw,belgium,europe,1,0
henri lepage,eurolibnetwork,association pour la liberta conomique et le progress social,unconvinced of agw,sweden,europe,,france,europe,1,0
henri lepage,eurolibnetwork,mont pelerin society,unconvinced of agw,sweden,europe,,global,global,1,1
henri lepage,institut turgot,la main invisible,unconvinced of agw,france,europe,unconvinced of agw,france,europe,0,0
henri lepage,institut turgot,institut hayek,unconvinced of agw,france,europe,unconvinced of agw,belgium,europe,1,0
henri lepage,institut turgot,association pour la liberta conomique et le progress social,unconvinced of agw,france,europe,,france,europe,0,0
henri lepage,institut turgot,mont pelerin society,unconvinced of agw,france,europe,,global,global,1,1
henri lepage,la main invisible,institut hayek,unconvinced of agw,france,europe,unconvinced of agw,belgium,europe,1,0
henri lepage,la main invisible,association pour la liberta conomique et le progress social,unconvinced of agw,france,europe,,france,europe,0,0
henri lepage,la main invisible,mont pelerin society,unconvinced of agw,france,europe,,global,global,1,1
henri lepage,institut hayek,association pour la liberta conomique et le progress social,unconvinced of agw,belgium,europe,,france,europe,1,0
henri lepage,institut hayek,mont pelerin society,unconvinced of agw,belgium,europe,,global,global,1,1
henri lepage,association pour la liberta conomique et le progress social,mont pelerin society,,france,europe,,global,global,1,1
henri siegert chazan,instituto liberdade,mont pelerin society,unconvinced of agw,brazil,south america,,global,global,1,1
henry hazlitt,foundation for economic education,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
henry i. miller,consumer alert,campaign for fighting diseases,unconvinced of agw,usa,north america,,uk,europe,1,1
henry lamb,doctors for disaster preparedness,"environmental conservation organization, inc.",unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
henry lamb,doctors for disaster preparedness,freedom21,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
henry lamb,doctors for disaster preparedness,sovereignty international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
henry lamb,"environmental conservation organization, inc.",freedom21,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
henry lamb,"environmental conservation organization, inc.",sovereignty international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
henry lamb,freedom21,sovereignty international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
hiroyuki okon,ludwig von mises institute,liberales institut,unconvinced of agw,usa,north america,unconvinced of agw,switzerland,europe,1,1
hiroyuki okon,ludwig von mises institute,institut constant de rebecque,unconvinced of agw,usa,north america,,switzerland,europe,1,1
hiroyuki okon,liberales institut,institut constant de rebecque,unconvinced of agw,switzerland,europe,,switzerland,europe,0,0
hoover institution,environmental literacy council,independent commission on environmental education,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
hoover institution,environmental literacy council,ludwig von mises institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
hoover institution,environmental literacy council,campaign for fighting diseases,unconvinced of agw,usa,north america,,uk,europe,1,1
hoover institution,independent commission on environmental education,ludwig von mises institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
hoover institution,independent commission on environmental education,campaign for fighting diseases,unconvinced of agw,usa,north america,,uk,europe,1,1
hoover institution,ludwig von mises institute,campaign for fighting diseases,unconvinced of agw,usa,north america,,uk,europe,1,1
horace cooper,national center for public policy research,the national leadership network of black conservatives,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
horace cooper,national center for public policy research,institute for liberty,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
horace cooper,the national leadership network of black conservatives,institute for liberty,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
horst malberg,eike,deutsche meteorologische gesellschaft,unconvinced of agw,germany,europe,convinced of agw,germany,europe,0,0
howard ahmanson,council for national policy,discovery institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
howard hutchinson,"environmental conservation organization, inc.",freedom21,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
hubert jongen,libertarian international,the libertarian alliance,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
hugh ellsaesser,"environmental conservation organization, inc.",freedom21,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
hugh morgan,australians for northern development and economic vision,clexit,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,1,1
hugh morgan,australians for northern development and economic vision,ecipe,unconvinced of agw,australia,oceania,,belgium,europe,1,1
hugh morgan,clexit,ecipe,unconvinced of agw,usa,north america,,belgium,europe,1,1
ian plimer,australians for northern development and economic vision,the galileo movement,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,0,0
ian plimer,australians for northern development and economic vision,principia scientific international,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,1,1
ian plimer,australians for northern development and economic vision,clexit,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,1,1
ian plimer,australians for northern development and economic vision,eike,unconvinced of agw,australia,oceania,unconvinced of agw,germany,europe,1,1
ian plimer,the galileo movement,principia scientific international,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,1,1
ian plimer,the galileo movement,clexit,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,1,1
ian plimer,the galileo movement,eike,unconvinced of agw,australia,oceania,unconvinced of agw,germany,europe,1,1
ian plimer,principia scientific international,clexit,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
ian plimer,principia scientific international,eike,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,1,1
ian plimer,clexit,eike,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,1,1
ilya somin,goldwater institute,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
ingrid a. gregg,foundation for economic education,philadelphia society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
j. gordon edwards,consumer alert,doctors for disaster preparedness,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
j. scott armstrong,climate science coalition of america,clexit,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
j. scott moody,illinois policy institute,maryland public policy institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
j. scott moody,illinois policy institute,oklahoma council of public affairs,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
j. scott moody,maryland public policy institute,oklahoma council of public affairs,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
j.r. clark,tennessee center for policy research,southern economic association,unconvinced of agw,usa,north america,,usa,north america,0,0
jacek saryusz-wolski,european policy centre,european ideas network,unconvinced of agw,belgium,europe,,belgium,europe,0,0
jack kemp,council for national policy,freedomworks,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
jacob arfwedson,center for medicine in the public interest,eurolibnetwork,unconvinced of agw,usa,north america,unconvinced of agw,sweden,europe,1,1
jacob arfwedson,center for medicine in the public interest,stockholm network,unconvinced of agw,usa,north america,unconvinced of agw,sweden,europe,1,1
jacob arfwedson,center for medicine in the public interest,european enterprise institute,unconvinced of agw,usa,north america,unconvinced of agw,europe,europe,1,1
jacob arfwedson,eurolibnetwork,stockholm network,unconvinced of agw,sweden,europe,unconvinced of agw,sweden,europe,0,0
jacob arfwedson,eurolibnetwork,european enterprise institute,unconvinced of agw,sweden,europe,unconvinced of agw,europe,europe,1,0
jacob arfwedson,stockholm network,european enterprise institute,unconvinced of agw,sweden,europe,unconvinced of agw,europe,europe,1,0
jacques garello,philadelphia society,social affairs unit,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
jacques garello,philadelphia society,institute for research in economics and fiscal issues,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
